Name,Proper Name,Lat,Lon
adjuntas,Adjuntas,18.1637762,-66.7235437
aguada,Aguada,18.3803419,-67.1883893
aguadilla,Aguadilla,18.4383977,-67.1547957
aguasbuenas,Aguas Buenas,18.2581766,-66.1064265
aibonito,Aibonito,18.1397229,-66.2657015
anasco,Añasco,18.286112,-67.141614
arecibo,Arecibo,18.4548566,-66.735446
arroyo,Arroyo,17.96862,-66.0617211
barceloneta,Barceloneta,18.4529737,-66.5380847
barranquitas,Barranquitas,18.1847647,-66.3101737
bayamon,Bayamón,18.3800554,-66.1632527
caborojo,Cabo Rojo,18.0867174,-67.1482659
caguas,Caguas,18.232149,-66.0390352
camuy,Camuy,18.4828528,-66.8506398
canovanas,Canóvanas,18.3779721,-65.9080859
carolina,Carolina,18.4120449,-65.979789
catano,Cataño,18.4380652,-66.1388407
cayey,Cayey,18.115296,-66.1628765
ceiba,Ceiba,18.264976,-65.6488115
ciales,Ciales,18.3352577,-66.4701871
cidra,Cidra,18.1775046,-66.1584864
coamo,Coamo,18.0774934,-66.3651634
comerio,Comerío,18.2194886,-66.2250527
corozal,Corozal,18.341028,-66.3124451
culebra,Culebra,18.3103311,-65.3027007
dorado,Dorado,18.4689758,-66.2711083
fajardo,Fajardo,18.3331908,-65.6591118
florida,Florida,18.3690055,-66.5612193
guanica,Guánica,17.9684059,-66.929179
guayama,Guayama,17.9741931,-66.1099853
guayanilla,Guayanilla,18.0217789,-66.7909498
guaynabo,Guaynabo,18.3839683,-66.1148413
gurabo,Gurabo,18.252607,-65.9786408
hatillo,Hatillo,18.483817,-66.822157
hormigueros,Hormigueros,18.1435593,-67.1205768
humacao,Humacao,18.151768,-65.820599
isabela,Isabela,18.5017486,-67.0237216
jayuya,Jayuya,18.2188803,-66.5968228
juana diaz,Juana Díaz,18.0533454,-66.5047345
juncos,Juncos,18.226488,-65.9164533
lajas,Lajas,18.046321,-67.0562191
lares,Lares,18.2951431,-66.8821307
lasmarias,Las Marías,18.2545246,-66.9866986
laspiedas,Las Piedras,18.1784218,-65.8708099
loiza,Loíza,18.4324315,-65.8779935
luquillo,Luquillo,18.3756682,-65.7209201
manati,Manatí,18.431295,-66.4771453
maricao,Maricao,18.1818363,-66.9774033
maunabo,Maunabo,18.0056796,-65.901076
mayaguez,Mayagüez,18.2012212,-67.1417795
moca,Moca,18.3968831,-67.1151518
morovis,Morovis,18.326656,-66.4059901
naguabo,Naguabo,18.2116635,-65.7370428
naranjito,Naranjito,18.3021106,-66.2459453
orocovis,Orocovis,18.2256999,-66.3916163
patillas,Patillas,18.0069136,-66.0134535
penuelas,Peñuelas,18.0596337,-66.72114
ponce,Ponce,17.9874475,-66.6097084
quebradillas,Quebradillas,18.4730079,-66.9363953
rincon,Rincón,18.3388145,-67.2516341
riogrande,Río Grande,18.3788968,-65.8388917
sabanagrande,Sabana Grande,18.0821014,-66.9672706
salinas,Salinas,17.9778899,-66.2961107
sangerman,San Germán,18.0826836,-67.0457369
sanjuan,San Juan,18.4064087,-66.0640039
sanlorenzo,San Lorenzo,18.1870815,-65.9674038
sansebastian,San Sebastián,18.3354677,-66.9948082
santaisabel,Santa Isabel,17.9688844,-66.4048902
toaalta,Toa Alta,18.3885546,-66.2497789
toabaja,Toa Baja,18.4439338,-66.2548539
trujilloalto,Trujillo Alto,18.3595584,-66.0127254
utuado,Utuado,18.2691318,-66.7053455
vegaalta,Vega Alta,18.4151755,-66.3211581
vegabaja,Vega Baja,18.4410497,-66.3990172
vieques,Vieques,18.1484912,-65.4439512
villalba,Villalba,18.1278924,-66.4814737
yabucoa,Yabucoa,18.0471036,-65.8793486
yauco,Yauco,18.0347926,-66.8621299
