Informe Municipal de Ventas,,,
Noviembre 2023,,,
Municipio de Vieques,,,
Id,Descripción del Sector de Ventas al Detal,Venta,Proporción del Total
1,Mueblerías,$0 ,0%
2,Tiendas de artículos electrónicos,"$15,739 ",0%
3,Tiendas de piezas de autos,"$27,485 ",1%
4,Equipo de patio y jardinería,$0 ,0%
5,Tiendas de alimentos especiales,"$85,682 ",2%
6,Tiendas de ropa,"$19,898 ",1%
7,Tiendas de calzado,$0 ,0%
8,"Tiendas de joyería, equipaje y artículos de cuero",$0 ,0%
9,"Tiendas de deporte, instrumentos musicales y de entretenimiento","$12,797 ",0%
10,Farmacias y droguerías,"$133,140 ",4%
11,Distribuidores de combustible,$0 ,0%
12,Vehículos de motor nuevos y usados,$0 ,0%
13,Ferreterías y materiales para el hogar,"$278,030 ",8%
14,Supermercado y tiendas de bebidas alcohólicas,"$1,617,155 ",47%
15,"Tiendas de cosméticos, productos de belleza y perfumes","$8,412 ",0%
16,Gasolineras y tiendas de conveniencia,"$460,071 ",13%
17,Tiendas por departamento y otros artículos misceláneos,"$211,313 ",6%
18,Restaurantes y lugares de bebidas alcohólicas,"$568,410 ",17%
,Total,"$3,438,131 ",100%
